模型,準確率,精確率,召回率,F1分數,AUC
梯度提升樹,0.48884381338742394,0.5669291338582677,0.26765799256505574,0.36363636363636365,0.49890467339352096
隨機森林,0.4787018255578093,0.5612244897959183,0.20446096654275092,0.2997275204359673,0.5253418746680828
