模型,準確率,精確率,召回率,F1分數,AUC
決策樹,0.4989293361884368,0.49693251533742333,0.6982758620689655,0.5806451612903226,0.49248899486427
SVM,0.5053533190578159,0.5015974440894568,0.6767241379310345,0.5761467889908257,0.4943323550990461
梯度提升樹,0.5074946466809421,0.5108695652173914,0.2025862068965517,0.29012345679012347,0.4769442406456347
神經網絡,0.5160599571734475,0.546875,0.15086206896551724,0.23648648648648649,0.518525311812179
集成模型,0.5160599571734475,0.5576923076923077,0.125,0.20422535211267606,0.49341526045487893
隨機森林,0.5010706638115632,0.49056603773584906,0.11206896551724138,0.1824561403508772,0.5184060895084373
邏輯回歸,0.5246252676659529,0.8125,0.05603448275862069,0.10483870967741936,0.5577402787967719
