模型,準確率,精確率,召回率,F1分數,AUC
隨機森林,0.4763779527559055,0.4973821989528796,0.7196969696969697,0.5882352941176471,0.4987580725285644
梯度提升樹,0.5393700787401575,0.5949367088607594,0.3560606060606061,0.44549763033175355,0.5039741679085941
