模型,準確率,精確率,召回率,F1分數,AUC
梯度提升樹,0.5,0.5925925925925926,0.12121212121212122,0.20125786163522014,0.5261425732737208
隨機森林,0.48031496062992124,0.0,0.0,0.0,0.5168902136115251
