Symbol
AAPL
ABNB
ABBV
ABT
ACN
ADBE
ADI
ADP
ADSK
AEP
AIG
AMAT
AMD
AMGN
AMT
AMZN
ANSS
APP
ARM
ASML
AVGO
AXON
AXP
AZN
BA
BAC
BIIB
BK
BKNG
BKR
BLK
BMY
BRK.B
C
CAT
CCEP
CDNS
CDW
CEG
CHTR
CL
CMCSA
COF
COP
COST
CPRT
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
CVS
CVX
DASH
DDOG
DE
DHR
DIS
DOW
DUK
DXCM
EA
EMR
EXC
F
FANG
FAST
FDX
FTNT
GD
GE
GEHC
GFS
GILD
GM
GOOG
GOOGL
GS
HD
HON
IBM
IDXX
INTC
INTU
ISRG
JNJ
JPM
KDP
KHC
KLAC
KO
LIN
LRCX
LLY
LMT
LOW
LULU
MA
MAR
MCHP
MCD
MDB
MDLZ
MELI
MET
META
MMM
MNST
MO
MRK
MRVL
MS
MSFT
MSTR
MU
NEE
NFLX
NKE
NVDA
NXPI
ODFL
ON
ORCL
ORLY
PANW
PAYX
PCAR
PDD
PEP
PFE
PG
PLTR
PM
PYPL
QCOM
REGN
ROP
ROST
RTX
SBUX
SCHW
SNPS
SO
SPG
T
TEAM
TGT
TMO
TMUS
TSLA
TTD
TTWO
TXN
UNH
UNP
UPS
USB
V
VRSK
VRTX
VZ
WBD
WDAY
WFC
WMT
XEL
XOM
ZS
TSM
CRWV
BABA
SOUN
